11,6,6
12,8,8
13,3,3
14,5,0
15,1,0
16,9,0
17,4,0
18,2,0
19,7,7
21,5,5
22,2,0
23,1,1
24,7,7
25,6,6
26,4,0
27,3,0
28,9,0
29,8,0
31,7,7
32,4,0
33,9,9
34,3,0
35,8,8
36,2,2
37,5,0
38,1,0
39,6,0
41,1,1
42,7,7
43,4,0
44,8,0
45,2,0
46,6,0
47,9,0
48,5,5
49,3,0
51,8,0
52,6,0
53,2,2
54,9,0
55,3,0
56,5,0
57,1,1
58,7,0
59,4,0
61,3,0
62,9,9
63,5,0
64,1,0
65,4,0
66,7,0
67,8,0
68,6,6
69,2,2
71,2,0
72,1,0
73,8,0
74,6,6
75,9,9
76,3,0
77,7,7
78,4,0
79,5,5
81,4,0
82,3,0
83,7,0
84,2,0
85,5,5
86,1,1
87,6,6
88,8,0
89,9,9
91,9,9
92,5,0
93,6,0
94,4,0
95,7,0
96,8,8
97,2,2
98,3,3
99,1,1
